Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Total Tests,Population,
None,None,None,None,None,None,None,None,None,None
Romania,3322648,0,67542,0,3244543,0,10563,26323702,19031335,
Denmark,3172664,102,8103,11,3162789,270,1772,129126503,5834950,
Hong Kong,2862312,1987,13230,36,2357136,15334,491973,75375235,7604299,
Sweden,2690473,0,22988,0,2647213,840,20272,19393009,10218971,
Serbia,2465639,0,17660,0,2433051,0,14928,12081731,8653016,
Iraq,2465545,0,25375,0,2439497,0,673,19544451,42164965,
Singapore,2214312,0,1720,0,2141321,0,70271,24756374,5945546,
Hungray,2191200,0,48629,0,2133974,0,8597,11394556,9606259,
New Zealand,2171788,0,3754,0,2155471,0,12563,7710637,4898203,
Bangladesh,2037456,12,29441,0,1990396,0,17619,15175874,167885689,
Slovakia,1860506,58,20915,4,1838877,78,714,7386894,5460193,
Georgia,1811015,0,16909,0,1776548,0,17558,16920079,3968738,
Jordan,1746997,0,14122,0,1731007,0,1868,17201885,10300869,
Ireland,1699347,0,8431,0,1682061,0,8855,12972202,5020199,
Pakistan,1576189,3,30640,0,1538689,0,6860,30570862,229488994,
Norway,1477446,0,5036,0,1471170,0,1240,11002430,5511370,
Finland,1449824,0,8557,0,1436201,908,5066,12007701,5554960,
Kazakhstan,1405452,0,13695,0,1383020,0,8737,11575012,19205043,
Slovenia,1320002,367,7047,2,1307332,172,5623,2820771,2078034,
Bulgaria,1294987,0,38167,0,1253550,0,3270,10966485,6844597,
Lithuania,1294236,0,9531,0,1279772,0,4933,10340459,2661708,
Morocco,1272186,19,16296,0,1255778,34,112,12916257,37772756,
Croatia,1267158,77,17838,10,1248666,89,654,5465950,4059286,
Lebanon,1227153,0,10776,0,1087587,0,128790,4795578,6684849,
Guatemala,1223115,0,20079,0,1196804,0,6232,6688885,18584039,
Bolivia,1184589,207,22343,0,1140176,925,22070,2705422,11992656,
Costa Rica,1177514,0,9123,0,860711,0,307680,4659757,5182354,
Tunisia,1150217,0,29291,0,0,0,0,4995308,12046656,
Cuba,1112369,7,8530,0,1103726,8,113,14276770,11305652,
UAE,1048778,0,2348,0,1032077,0,14353,198438740,10081785,
Ecuador,1047624,0,35940,0,1010863,411,821,3082403,18113361,
Uruguay,1031581,0,7601,0,1022055,0,1925,6114822,3469016,
Panama,1029061,0,8594,0,1019345,0,1122,7458705,4446964,
Mongolia,1007857,0,2179,0,1005608,22,70,4030048,3378078,
Nepal,10010978,1,12020,0,989040,4,18,6001287,30225582,
Belarus,994037,0,7118,0,985592,0,1327,13646641,9432800,
Lativa,975159,38,6206,0,968561,53,392,7859339,1848837,
Azerbaijan,827738,59,10075,7,817388,72,275,7475435,10300205,
Saudi Arabia,827697,39,9561,1,815287,27,2849,45023759,35844909,
Paraguay,805468,0,19778,0,0,0,0,2657506,7305843,
Bahrain,700033,0,1541,0,698040,0,452,10672619,1783983,
Sri Lanka,671984,3,16826,1,655156,1,2,6486117,21575842,
Kuwait,662858,0,2570,0,660237,0,51,8455743,4380326,
Dominican Republic,659761,0,4384,0,644785,0,10592,3740928,11056370,
Cyprus,640729,0,1280,0,629831,0,9618,9640118,1223387,
Myanmar,633809,4,19490,0,614256,1,63,9915919,55227143,
Palestine,621008,0,5404,0,615445,0,159,3078533,5345541,
Estonia,613507,301,2904,8,524990,0,85613,3652850,1321910,
Moldova,598073,475,11950,3,504142,0,81981,3216305,4013171,
Venezuela,551297,0,5840,0,544614,0,843,3359014,29266991,
Egypt,515645,0,24613,0,442182,0,48850,3693367,106156692,
Libya,507158,0,6437,0,500717,0,4,2483446,7040745,
China,503302,0,5272,0,379053,0,118977,160000000,1448471400,
Ethiopia,499354,25,7572,0,486163,50,5619,5451154,120812698,
Qatar,492115,72,686,0,491161,62,268,4065369,2979915,
Reunion,484813,0,918,0,418572,0,65323,1603660,908601,
Honduras,470144,0,11099,0,0,0,0,1641662,10221247,
Armenia,446008,0,8717,0,435162,0,2129,3242901,2971966,
Bosnia and Herzegovina,401312,6,16248,0,379041,33,6023,1884144,3249317,
Oman,399154,0,4260,0,384669,0,10225,25000000,5323993,
North Macedonia,346297,0,9633,0,336460,0,204,2213883,2081304,
Kenya,342792,6,5688,0,337035,28,69,3966313,56215221,
Zambia,338986,0,4039,0,332655,0,2292,3840304,19470234,
Albania,334113,12,3595,0,328872,14,1646,1941032,2866374,
Botswana,328581,0,2795,0,323747,0,2039,2026898,2441162,
Luxembourg,297757,0,1133,0,288991,0,7633,4412567,642371,
Montenegro,286004,0,2795,0,282763,0,446,2693607,627950,
Brunei,274217,0,225,0,243601,0,30391,717784,445431,
Algeria,271346,0,6881,0,182721,0,81744,230861,4535048,
Nigeria,266463,0,3155,0,259850,0,3458,5708974,216746934,
Zimbabwe,259981,0,5637,0,253677,0,667,2525756,15331428,
Uzbekistan,250428,21,1637,0,241486,0,7305,1377915,34382084,
Mozambique,231404,0,2232,0,228801,0,371,1371127,33089461,
Martinique,229348,0,1095,0,0,0,0,828928,374087,
Laos,217947,3,758,0,0,0,0,1233207,7481023,
Iceland,208539,0,229,0,0,0,0,1996384,345393,
Afghanistan,208097,0,7870,0,185904,0,14323,1184310,40754388,
Kyrgyzstan,206591,3,2991,0,196406,0,7194,1907195,6728271,
El Salvador,201785,0,4230,0,179410,0,18145,2610114,6550389,
Guadeloupe,200965,0,1003,0,0,0,0,938039,399794,
Trinidad and Tobago,187204,0,4309,0,182723,0,172,885178,1406585,
Maldives,185713,0,311,0,163687,0,21715,2213831,540985,
Ghana,171112,0,1462,0,169636,0,14,2527319,32395450,
Namibia,170496,0,4083,0,166324,0,89,1062663,2633874,
Uganda,170279,0,3630,0,100431,0,66218,3012408,48432863,
Jamaica,153143,0,3476,0,102116,0,47551,1183986,2985094,
Cambodia,138677,0,3056,0,135611,0,10,3091420,17168639,
Rwanda,133078,0,1468,0,131537,0,73,5959042,13600464,
Cameroon,123993,0,1965,0,118616,0,3412,1751774,27911548,
Malta,116953,59,824,1,115473,115,656,2107048,444033,
Barbados,105905,0,569,0,105314,0,22,788414,288023,
Angola,105095,0,1930,0,103050,0,115,1499795,35027343,
Channel Island,100931,0,221,0,100519,0,191,1252808,176463,
French Guiana,98012,0,416,0,11254,0,84223,651257,314169,
DRC,95346,0,1463,0,84223,0,9660,846704,95240792,
Senegal,88900,0,1968,0,86915,0,17,1146543,17653671,
Malwai,88446,0,2686,0,85291,0,469,624784,20180839,
Ivory Coast,87966,0,833,0,87127,0,6,1669594,27742298,
Suriname,82020,0,1398,0,0,0,0,239603,596831,
New Caledonia,79820,37,314,0,79480,80,26,98964,290915,
French Polynesia,77957,0,649,0,0,0,0,0,284164,
Eswatini,74114,0,1422,0,72461,0,51,1048704,1184817,
Guyana,72815,0,1293,0,71166,0,356,715603,794045,
Belize,70610,0,688,0,69868,0,54,576016,412190,
Fiji,68808,0,883,0,66770,0,1155,667444,909466,
Madagascar,67817,0,1419,0,66343,0,55,523878,29178077,
Sudan,63729,0,5001,0,58284,0,444,562941,45992020,
Mauritania,63664,0,997,0,62433,0,234,1009957,4901981,
Cabo Verde,63224,0,412,0,62752,0,60,401622,567678,
Bhutan,62598,0,21,0,61564,0,1013,2303734,787941,
Syria,57450,0,3164,0,54283,0,3,146269,19364809,
Burundi,52162,0,38,0,51393,0,730,345742,12624840,
Seychelles,50355,0,172,0,50026,0,157,0,99426,
Gabon,48980,0,306,0,48668,0,6,1621909,2331533,
Andorra,47820,0,165,0,47563,0,92,249838,77463,
Papua New Guinea,46663,0,669,0,43982,0,2012,249149,9292169,
Curacao,45986,0,295,0,44720,0,971,496693,165529,
Aruba,43965,0,236,0,42438,0,1291,177885,107609,
Tanzania,42530,0,846,0,0,0,0,0,63298550,
Mayotte,42002,0,188,0,0,0,0,176919,286259,
Mauritius,41627,0,1042,0,39901,0,684,358675,1274727,
Togo,39353,0,290,0,39057,0,6,806372,8680837,
Guinea,38224,0,467,0,37757,0,0,660107,13865691,
Isle of Man,38008,0,116,0,0,0,0,150753,85732,
Bahamas,37491,0,833,0,36366,0,292,257839,400516,
Lesotho,34790,0,723,0,25980,0,8087,431221,2175699,
Faeroe Islands,34658,0,28,0,0,0,0,778000,49233,
Haiti,34008,0,860,0,32986,0,162,132422,11680283,
Mali,32776,0,743,0,31953,0,80,787807,21473764,
Cayman Islands,31472,0,37,0,8553,0,22882,222773,67277,
Saint Lucia,29761,0,409,0,29905,0,257,210983,185113,
Benin,27989,0,163,0,27823,0,3,604310,12784726,
Somalia,27318,0,1361,0,13182,0,12775,400466,16841795,
Congo,25375,0,386,0,24006,0,983,347815,5797805,
Solomon Isalnds,24575,0,153,0,0,0,0,0,721159,
Timor-Leste,23410,0,138,0,23102,0,170,278529,1369429,
San Marino,23290,0,121,0,23034,0,135,157634,34085,
Micronesia,22676,0,58,0,0,0,0,54967,117489,
Burkina Faso,22025,0,396,0,21596,0,33,248995,22102838,
Liechtenstein,21327,0,89,0,21222,0,16,112457,38387,
Gibraltar,20392,0,111,0,16579,0,3702,534283,33704,
Grenada,19680,0,238,0,19358,0,84,182981,113475,
Bermuda,18751,0,157,0,18556,0,38,1024316,61939,
Nicaragua,18491,0,225,0,4225,0,14041,0,6779100,
South Sudan,18368,0,138,0,18115,0,115,410280,11618511,
Tajikistan,17786,0,125,0,17264,0,397,0,9957464,
Equatorial Guniea,17186,0,183,0,16880,0,123,365697,1496662,
Tonga,16590,0,13,0,15638,0,939,535009,107749,
Monaco,16049,8,65,0,15970,15,14,78646,39783,
Samoa,16022,0,29,0,1605,0,14388,187397,202239,
Dominica,15760,0,74,0,15673,0,13,229344,72344,
Djibouti,15690,0,189,0,15427,0,74,305940,1016097,
Marshall Islands,15554,0,17,0,15528,0,9,0,60057,
CAR,15361,0,113,0,14777,0,471,81294,5016678,
Gambia,12586,0,372,0,12189,0,25,155686,2558482,
Saint Martin,12222,0,63,0,1399,0,10760,112382,39730,
Vanuatu,12014,0,14,0,11976,0,24,24976,321832,
Greenland,11971,0,21,0,2761,0,9189,164926,56973,
Yemen,11945,0,2156,0,9124,0,662,329592,31154867,
Caribbean Netherlands,11648,0,38,0,10476,0,1134,30126,26647,
Sint Maarten,11010,0,89,0,10905,0,16,62056,43966,
Eritrea,10189,0,103,0,10086,0,0,23693,3662244,
Nigeria,9931,0,312,0,8890,0,729,254538,26083660,
St.Vincent Grenadines,9572,0,123,0,9441,0,8,113366,111551,
Antigua and Barbuda,9106,0,146,0,8954,0,6,18901,99509,
Comoros,8992,0,161,0,8827,0,4,0,907419,
Guinea-Bissau,8947,0,176,0,8656,0,115,145231,2063367,
Liberia,8043,0,294,0,7741,0,8,139824,5305117,
Sierra Leone,7760,0,126,0,0,0,0,259958,8306436,
Chad,7651,0,194,0,4874,0,2583,191341,17413580,
British Virgin Islands,7305,0,64,0,0,0,0,107339,30596,
Cook Islands,6995,7,2,0,6982,29,11,19690,17571,
Saint Kitts and Nevis,6586,1,46,0,6531,3,9,126885,53871,
Turks and Caicos,6522,0,38,0,6451,0,33,611527,39741,
Sao Tome and Principe,6279,0,77,0,6202,0,0,29036,227679,
Palau,5986,0,9,0,5970,0,7,68724,18233,
St.Barth,5418,0,6,0,0,0,0,78646,9945,
Kiribati,4991,0,18,0,2703,0,2270,0,123419,
Nauru,4621,0,1,0,4609,0,11,20509,10903,
Anguilla,3904,0,12,0,3879,0,13,51382,15230,
Macao,3475,2,118,0,3334,4,23,7850,667490,
Wallis and Futuna ,3427,0,7,0,438,0,2982,20508,10982,
Saint Pierre Miquelon,3411,0,2,0,2449,0,960,25400,5759,
Tuvalu,2805,0,0,0,0,0,2805,0,12066,
Falkland Islands,1930,0,0,0,1930,0,0,8632,3539,
Saint Helena,1806,0,0,0,2,0,1804,0,6115,
Montserrat,1403,0,8,0,1376,0,19,17762,4965,
Niue,739,5,0,0,718,0,21,0,1622,
Tokelau,5,0,0,0,0,0,5,0,1378,
